Papel	Segmento	Cotação	FFO Yield	Dividend Yield	P/VP	Valor de Mercado	Liquidez	Qtd de imóveis	Preço do m2	Aluguel por m2	Cap Rate	Vacância Média
PQDP11	Shoppings	2.114,00	7,86%	5,90%	0,62	504.140.000	142.020	1	1.913,94	119,85	6,26%	7,51%
PRSN11B	Residencial	1,42	-1,60%	13,85%	3,86	73.414.000	1.993	2	152.286,00	0,00	0,00%	0,00%
PRSV11	Lajes Corporativas	117,50	7,94%	0,00%	0,49	22.912.500	5.682	1	2.089,15	387,48	18,55%	40,90%
PVBI11	Lajes Corporativas	87,69	6,95%	6,86%	0,88	880.363.000	2.305.150	4	12.273,80	736,01	6,00%	0,00%
QAGR11	Outros	49,99	9,11%	9,32%	0,84	251.950.000	495.563	12	235,71	23,29	9,88%	0,00%
QAMI11	Híbrido	97,94	14,14%	11,14%	1,07	78.488.900	81.713	0	0,00	0,00	0,00%	0,00%
QIRI11	Títulos e Val. Mob.	86,54	5,86%	4,12%	0,96	12.981.000	1.970	0	0,00	0,00	0,00%	0,00%
RBCO11	Lajes Corporativas	51,04	12,03%	9,41%	0,51	192.880.000	248.046	4	4.258,17	683,28	16,05%	0,00%
RBDS11	Residencial	6,79	-2,85%	30,79%	0,27	859.091	630	0	0,00	0,00	0,00%	0,00%
RBED11	Outros	122,80	9,45%	10,15%	0,87	248.255.000	184.485	6	2.857,48	284,42	9,95%	0,00%
RBFF11	Títulos e Val. Mob.	53,03	7,17%	10,51%	0,79	198.821.000	299.794	0	0,00	0,00	0,00%	0,00%
RBGS11	Shoppings	28,45	3,30%	5,10%	0,31	30.669.100	22.764	1	1.051,57	52,68	5,01%	11,94%
RBHG11	Títulos e Val. Mob.	84,71	6,38%	6,39%	0,88	146.343.000	389.477	0	0,00	0,00	0,00%	0,00%
RBHY11	Títulos e Val. Mob.	99,91	4,17%	13,42%	1,03	158.022.000	414.218	0	0,00	0,00	0,00%	0,00%
RBLG11	Logística	87,10	6,55%	7,92%	0,83	55.761.300	374.054	1	300,77	8,51	2,83%	0,00%
RBRD11	Híbrido	41,50	8,83%	2,91%	0,57	76.849.100	43.816	4	2.627,35	310,13	11,80%	27,96%
RBRF11	Títulos e Val. Mob.	72,36	4,82%	9,88%	0,83	989.941.000	3.029.520	0	0,00	0,00	0,00%	0,00%
RBRL11	Logística	92,29	6,03%	9,12%	0,86	617.146.000	806.923	6	1.784,57	121,22	6,79%	0,00%
RBRP11	Outros	70,59	5,55%	7,29%	0,84	859.729.000	1.511.100	11	11.752,00	712,92	6,07%	48,48%
RBRR11	Títulos e Val. Mob.	102,98	3,98%	9,41%	1,02	1.067.110.000	3.231.280	0	0,00	0,00	0,00%	0,00%
RBRS11	Híbrido	65,51	5,01%	7,50%	0,70	91.024.200	28.051	3	9.306,05	368,48	3,96%	2,09%
RBRY11	Títulos e Val. Mob.	106,20	5,73%	9,88%	1,02	360.778.000	840.489	0	0,00	0,00	0,00%	0,00%
RBVA11	Outros	96,60	6,65%	11,22%	0,92	1.119.420.000	830.949	87	7.159,15	886,73	12,39%	0,46%
RBVO11		12,30	4,36%	3,73%	0,53	6.344.640	6.661	0	0,00	0,00	0,00%	0,00%
RCFF11	Títulos e Val. Mob.	100,79	1,68%	2,76%	1,05	32.575.300	10.490	0	0,00	0,00	0,00%	0,00%
RCRB11	Lajes Corporativas	132,05	5,37%	7,42%	0,67	487.356.000	852.892	10	12.462,30	717,52	5,76%	14,39%
RDPD11	Títulos e Val. Mob.	57,10	6,83%	8,86%	0,96	61.556.200	146.053	0	0,00	0,00	0,00%	0,00%
